Precincts,Borough,Asian_Population,2021_S1,2021_S2,2021_S3,2021_S4,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,FELONY_2021_S1,FELONY_2021_S2,FELONY_2021_S3,FELONY_2021_S4,MISDEMEANDOR_2021_S1,MISDEMEANDOR_2021_S2,MISDEMEANDOR_2021_S3,MISDEMEANDOR_2021_S4,VIOLATION_2021_S1,VIOLATION_2021_S2,VIOLATION_2021_S3,VIOLATION_2021_S4,FELONY_2020,FELONY_2019,FELONY_2018,FELONY_2017,FELONY_2016,FELONY_2015,FELONY_2014,FELONY_2013,FELONY_2012,FELONY_2011,FELONY_2010,MISDEMEANDOR_2020,MISDEMEANDOR_2019,MISDEMEANDOR_2018,MISDEMEANDOR_2017,MISDEMEANDOR_2016,MISDEMEANDOR_2015,MISDEMEANDOR_2014,MISDEMEANDOR_2013,MISDEMEANDOR_2012,MISDEMEANDOR_2011,MISMEANDOR_2010,VIOLATION_2020,VIOLATION_2019,VIOLATION_2018,VIOLATION_2017,VIOLATION_2016,VIOLATION_2015,VIOLATION_2014,VIOLATION_2013,VIOLATION_2012,VIOLATION_2011,VIOLATION_2010
1,MANHATTAN,14624,4.923413567,5.743982495,7.863785558,9.231400438,0.615426696,0,0.068380744,0.068380744,0.068380744,0,0,0,0,0,0,1.641137856,1.983041575,2.598468271,3.692560175,2.188183807,2.324945295,3.624179431,4.649890591,1.162472648,1.504376368,1.7095186,1.504376368,0.410284464,0,0,0,0.068380744,0,0,0,0,0,0,0.136761488,0,0.068380744,0.068380744,0,0,0,0,0,0,0,0.068380744,0,0,0,0,0,0,0,0,0,0
5,MANHATTAN,27507,5.380448613,6.252953794,6.252953794,6.471080089,0.254480678,0,0,0,0,0,0.036354383,0,0,0,0,1.635947213,1.672301596,1.817719126,2.799287454,2.762933072,3.526375105,3.526375105,3.271894427,1.017922711,1.054277093,0.981568328,0.58167012,0.109063148,0,0,0,0,0,0,0,0,0,0,0.109063148,0,0,0,0,0,0.036354383,0,0,0,0,0.036354383,0,0,0,0,0,0,0,0,0,0
6,MANHATTAN,5635,10.64773736,14.19698314,18.27861579,21.82786158,1.064773736,0,0,0,0,0,0,0,0,0,0,4.79148181,4.79148181,9.405501331,10.47027507,4.614019521,6.921029281,6.921029281,9.405501331,1.419698314,2.661934339,2.129547471,2.48447205,0.709849157,0,0,0,0,0,0,0,0,0,0,0.354924579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MANHATTAN,17779,6.187074639,6.187074639,6.524551437,10.12430395,0.393722932,0.056246133,0,0,0,0,0,0,0,0,0,2.531075989,2.249845323,2.306091456,4.555936779,3.037291186,2.92479892,3.487260251,4.330952247,0.674953597,1.012430395,0.899938129,1.46239946,0.224984532,0,0,0,0,0,0,0,0,0,0,0.112492266,0.056246133,0,0,0,0,0,0,0,0,0,0.056246133,0,0,0,0,0,0,0,0,0,0
9,MANHATTAN,11322,6.270976859,8.832361774,11.65871754,11.12877583,0.441618089,0.088323618,0.088323618,0.088323618,0,0,0,0,0,0,0,2.73803215,3.974562798,4.327857269,5.387740682,3.179650238,4.062886416,5.741035153,5.034446211,0.441618089,0.971559795,1.678148737,1.148207031,0.088323618,0,0.088323618,0.088323618,0,0,0,0,0,0,0,0.264970853,0.088323618,0,0,0,0,0,0,0,0,0,0.088323618,0,0,0,0,0,0,0,0,0,0
10,MANHATTAN,10326,4.261088514,5.132674801,10.74956421,9.87797792,0.774743366,0,0.096842921,0,0,0,0,0,0,0,0,0.968429208,1.936858416,5.035831881,5.035831881,2.324230099,2.324230099,4.551617277,4.164245594,1.065272129,0.871586287,1.25895797,1.355800891,0.387371683,0,0,0,0,0,0,0,0,0,0,0.387371683,0,0.096842921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,MANHATTAN,15270,5.697445972,8.906352325,9.102815979,7.858546169,0.851342502,0.065487885,0,0,0,0,0,0,0,0,0,2.226588081,3.012442698,3.208906352,3.208906352,2.61951539,4.125736739,4.322200393,3.994760969,0.916830386,1.833660773,1.637197119,1.440733464,0.327439424,0.065487885,0,0,0,0,0,0,0,0,0,0.261951539,0,0,0,0,0,0,0,0,0,0,0.261951539,0,0,0,0,0,0,0,0,0,0
14,MANHATTAN,7233,17.00539195,26.26849164,29.31010646,32.62823172,0.414765657,0,0,0.276510438,0,0,0,0,0,0,0,6.774505738,9.263099682,11.88994885,15.62283976,6.497995299,11.88994885,12.44296972,13.27250104,3.871146136,5.253698327,4.977187889,4.147656574,0.276510438,0,0,0,0,0,0,0,0,0,0,0.138255219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276510438,0,0,0,0,0,0,0
17,MANHATTAN,16938,3.896563939,5.07734089,5.136379738,5.667729366,0.354233085,0,0,0,0,0,0,0,0,0,0,1.712126579,2.125398512,2.066359665,2.538670445,1.357893494,2.125398512,1.830204274,1.889243122,0.826543866,0.885582713,1.357893494,1.416932341,0.177116543,0,0,0,0,0,0,0,0,0,0,0.118077695,0,0,0,0,0,0,0,0,0,0,0.059038848,0,0,0,0,0,0,0,0,0,0
18,MANHATTAN,13318,7.959153026,11.03769335,11.41312509,11.63838414,1.12629524,0.075086349,0,0.075086349,0.075086349,0,0,0,0,0,0,2.853281273,3.378885719,4.355008259,5.3311308,3.003453972,4.955699054,4.655353657,5.030785403,2.402763178,2.778194924,2.552935876,2.10241778,0.450518096,0.075086349,0,0,0.075086349,0,0,0,0,0,0,0.450518096,0,0,0,0,0,0,0,0,0,0,0.225259048,0,0,0.075086349,0,0,0,0,0,0,0
19,MANHATTAN,22794,2.983241204,5.089058524,6.010353602,5.176800913,0.350969553,0.043871194,0,0,0.043871194,0,0,0,0,0,0,1.272264631,1.710976573,2.41291568,2.193559709,0.965166272,2.237430903,2.763885233,2.281302097,0.745810301,1.272264631,0.877423883,0.965166272,0.175484777,0,0,0,0,0,0,0,0,0,0,0.131613583,0.043871194,0,0,0,0,0,0,0,0,0,0.043871194,0,0,0,0,0,0,0,0,0,0
20,MANHATTAN,13101,2.137241432,3.35852225,5.724753836,3.663842455,0.534310358,0.228990153,0,0,0,0,0,0,0,0,0,0.68697046,1.297610869,2.060911381,1.450270972,0.992290665,1.373940921,2.289901534,1.602931074,0.534310358,0.839630563,1.602931074,0.992290665,0.076330051,0.152660102,0,0,0,0,0,0,0,0,0,0.228990153,0.076330051,0,0,0,0,0,0,0,0,0,0.228990153,0,0,0,0,0,0,0,0,0,0
22,MANHATTAN,2,2000,5500,1000,3000,1500,0,500,0,0,0,0,0,0,0,0,1000,500,1000,500,500,3000,0,2500,500,2000,0,0,0,0,500,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,MANHATTAN,7765,6.05280103,8.242112041,8.242112041,8.886027044,0.386349002,0.128783001,0,0,0,0,0,0,0,0,0,2.575660013,3.090792015,2.318094012,2.189311011,2.575660013,2.833226014,3.863490019,4.764971024,1.159047006,2.318094012,2.06052801,2.189311011,0.128783001,0.128783001,0,0,0,0,0,0,0,0,0,0.128783001,0,0,0,0,0,0,0,0,0,0,0.128783001,0,0,0,0,0,0,0,0,0,0
24,MANHATTAN,9920,3.629032258,6.048387097,5.846774194,7.157258065,0.201612903,0,0,0,0,0,0,0,0,0,0,1.310483871,2.217741935,1.814516129,3.528225806,1.814516129,2.923387097,2.923387097,3.528225806,0.504032258,0.907258065,1.108870968,0.504032258,0,0,0,0,0,0,0,0,0,0,0,0.100806452,0,0,0,0,0,0,0,0,0,0,0.100806452,0,0,0,0,0,0,0,0,0,0
25,MANHATTAN,2265,11.9205298,11.9205298,27.37306843,17.21854305,1.324503311,0,0,0,0,0,0,0,0,0,0,2.649006623,3.973509934,15.89403974,4.856512141,6.622516556,6.622516556,8.830022075,8.388520971,2.649006623,1.324503311,2.649006623,3.973509934,0,0,0,0,0,0,0,0,0,0,0,0.883002208,0,0,0,0,0,0,0,0,0,0,0.441501104,0,0,0,0,0,0,0,0,0,0
26,MANHATTAN,8608,2.671933086,3.485130112,3.949814126,6.505576208,0.116171004,0,0,0.116171004,0,0,0,0,0,0,0,1.161710037,1.045539033,1.510223048,2.439591078,1.045539033,1.858736059,1.394052045,3.717472119,0.464684015,0.580855019,1.045539033,0.348513011,0.116171004,0,0,0.116171004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,MANHATTAN,2859,11.19272473,21.68590416,15.04022385,11.19272473,1.049317943,0,0,0,0,0,0,0,0,0,0,2.098635887,6.995452956,5.246589717,2.798181182,7.345225603,8.744316194,6.995452956,6.645680308,1.748863239,5.946135012,3.497726478,1.748863239,1.049317943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349772648,0,0,0,0,0,0
30,MANHATTAN,2294,17.43679163,14.3853531,14.82127289,14.3853531,0.871839582,0,0,0,0,0,0,0,0,0,0,5.231037489,3.923278117,3.487358326,4.795117698,8.282476024,6.102877071,8.718395815,7.846556234,3.923278117,4.359197908,3.051438535,2.615518745,0,0,0,0,0,0,0,0,0.435919791,0,0,0.871839582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,MANHATTAN,2311,12.54868023,10.81782778,19.47209,17.74123756,0,0,0,0,0,0,0,0,0,0,0,3.46170489,3.028991778,6.057983557,7.788836002,6.057983557,6.490696668,9.086975335,7.788836002,3.028991778,1.298139334,4.327131112,3.028991778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432713111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,MANHATTAN,3045,10.5090312,12.15106732,11.8226601,12.47947455,0.328407225,0,0,0,0,0,0,0,0,0,0,3.9408867,4.926108374,4.269293924,3.9408867,4.597701149,5.582922824,5.911330049,6.896551724,2.298850575,1.642036125,1.97044335,1.97044335,0,0,0,0,0,0,0,0,0,0,0,0.328407225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,MANHATTAN,3024,4.96031746,6.944444444,10.58201058,12.56613757,1.984126984,0.330687831,0,0,0.330687831,0,0,0,0.330687831,0,0,2.645502646,1.653439153,4.96031746,4.298941799,1.984126984,2.645502646,2.976190476,7.275132275,0.661375661,2.645502646,2.645502646,1.653439153,0.992063492,0.330687831,0,0,0.330687831,0,0,0,0,0,0,0.661375661,0,0,0,0,0,0,0,0,0,0,0.330687831,0,0,0,0,0,0,0,0,0,0
